"id","lastname","name","login","password","email","property_account_payable_id/id","property_account_receivable_id/id","default_operating_unit_id","operating_unit_ids"
"base.res_user_001","Director","Director","director@egov.or.th",1234,"director@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit A","Operating Unit A,Operating Unit B"
"base.res_user_002","Manager A1","Manager A1","mng_a1@egov.or.th",1234,"mng_a1@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit A","Operating Unit A"
"base.res_user_003","Employee A1","Employee A1","emp_a1@egov.or.th",1234,"emp_a1@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit A","Operating Unit A"
"base.res_user_004","Manager A2","Manager A2","mng_a2@egov.or.th",1234,"mng_a2@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit A","Operating Unit A"
"base.res_user_005","Employee A2","Employee A2","emp_a2@egov.or.th",1234,"emp_a2@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit A","Operating Unit A"
"base.res_user_006","Manager A3","Manager A3","mng_a3@egov.or.th",1234,"mng_a3@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit A","Operating Unit A"
"base.res_user_007","Employee A3","Employee A3","emp_a3@egov.or.th",1234,"emp_a3@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit A","Operating Unit A"
"base.res_user_008","Manager B1","Manager B1","mng_b1@egov.or.th",1234,"mng_b1@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit B","Operating Unit B"
"base.res_user_009","Employee B1","Employee B1","emp_b1@egov.or.th",1234,"emp_b1@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit B","Operating Unit B"
"base.res_user_010","Manager B2","Manager B2","mng_b2@egov.or.th",1234,"mng_b2@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit B","Operating Unit B"
"base.res_user_011","Employee B2","Employee B2","emp_b2@egov.or.th",1234,"emp_b2@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit B","Operating Unit B"
"base.res_user_012","Manager B3","Manager B3","mng_b3@egov.or.th",1234,"mng_b3@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit B","Operating Unit B"
"base.res_user_013","Employee B3","Employee B3","emp_b3@egov.or.th",1234,"emp_b3@egov.or.th","l10n_th.1_a_pay","l10n_th.1_a_recv","Operating Unit B","Operating Unit B"
